bill_date,month,days_in_billing_period,billing_end_date,billing_start_date,due_date,account_number,customer_name,avg_daily_temperature,kwh_used,avg_daily_usage,utility_price_to_compare,supplier_rate,customer_charge,distribution_related_component,cost_recovery_charges,consumer_rate_credit,distribution_credit,non_standard_credit,utility_charges,supplier_charges,total_bill_amount,meter_start_value,meter_end_value
2020-06-10,6,29,2020-06-09,2020-05-11,2020-06-30,110 165 240 562,RUSHITHA CHITTIBOMMA,84,557,19.2,8.5,0.119,4.0,27.85,16.71,-1.02,0.0,0.0,47.54,66.28,113.82,17123,17680
2020-07-10,7,29,2020-07-09,2020-06-10,2020-07-30,110 165 240 562,RUSHITHA CHITTIBOMMA,73,496,17.1,8.09,0.119,4.0,24.8,14.88,-1.02,0.0,0.0,42.66,59.02,101.68,17680,18176
2020-08-09,8,30,2020-08-08,2020-07-09,2020-08-29,110 165 240 562,RUSHITHA CHITTIBOMMA,83,573,19.1,8.08,0.119,4.0,28.65,17.19,-1.02,0.0,0.0,48.82,68.19,117.01,18176,18749
2020-09-08,9,30,2020-09-07,2020-08-08,2020-09-28,110 165 240 562,RUSHITHA CHITTIBOMMA,60,590,19.7,8.17,0.119,4.0,29.5,17.7,-1.02,0.0,0.0,50.18,70.21,120.39,18749,19339
2020-10-08,10,29,2020-10-07,2020-09-08,2020-10-28,110 165 240 562,RUSHITHA CHITTIBOMMA,64,679,23.4,8.0,0.119,4.0,33.95,20.37,-1.02,0.0,0.0,57.3,80.8,138.1,19339,20018
2020-11-07,11,31,2020-11-06,2020-10-06,2020-11-27,110 165 240 562,RUSHITHA CHITTIBOMMA,60,618,19.9,9.14,0.119,4.0,30.9,18.54,-1.02,0.0,0.0,52.42,73.54,125.96,20018,20636
2020-12-07,12,29,2020-12-06,2020-11-07,2020-12-27,110 165 240 562,RUSHITHA CHITTIBOMMA,30,1601,55.2,8.11,0.119,4.0,80.05,48.03,-1.02,-3.3,-3.3,124.46,190.52,314.98,20636,22237
2021-01-06,1,28,2021-01-05,2020-12-08,2021-01-26,110 165 240 562,RUSHITHA CHITTIBOMMA,30,1694,60.5,9.19,0.119,4.0,84.7,50.82,-1.02,-3.58,-3.58,131.34,201.59,332.93,22237,23931
2021-02-05,2,30,2021-02-04,2021-01-05,2021-02-25,110 165 240 562,RUSHITHA CHITTIBOMMA,32,1861,62.0,9.26,0.119,4.0,93.05,55.83,-1.02,-4.08,-4.08,143.7,221.46,365.16,23931,25792
2021-03-07,3,32,2021-03-06,2021-02-02,2021-03-27,110 165 240 562,RUSHITHA CHITTIBOMMA,59,1152,36.0,9.14,0.119,4.0,57.6,34.56,-1.02,0.0,0.0,95.14,137.09,232.23,25792,26944
2021-04-06,4,31,2021-04-05,2021-03-05,2021-04-26,110 165 240 562,RUSHITHA CHITTIBOMMA,62,1115,36.0,8.03,0.119,4.0,55.75,33.45,-1.02,0.0,0.0,92.18,132.68,224.86,26944,28059
2021-05-06,5,28,2021-05-05,2021-04-07,2021-05-26,110 165 240 562,RUSHITHA CHITTIBOMMA,50,1084,38.7,9.02,0.119,4.0,54.2,32.52,-1.02,0.0,0.0,89.7,129.0,218.7,28059,29143
2021-06-05,6,31,2021-06-04,2021-05-04,2021-06-25,110 165 240 562,RUSHITHA CHITTIBOMMA,77,768,24.8,8.75,0.119,4.0,38.4,23.04,-1.02,0.0,0.0,64.42,91.39,155.81,29143,29911
2021-07-05,7,28,2021-07-04,2021-06-06,2021-07-25,110 165 240 562,RUSHITHA CHITTIBOMMA,84,652,23.3,9.4,0.119,4.0,32.6,19.56,-1.02,0.0,0.0,55.14,77.59,132.73,29911,30563
2021-08-04,8,30,2021-08-03,2021-07-04,2021-08-24,110 165 240 562,RUSHITHA CHITTIBOMMA,71,709,23.6,8.88,0.119,4.0,35.45,21.27,-1.02,0.0,0.0,59.7,84.37,144.07,30563,31272
2021-09-03,9,30,2021-09-02,2021-08-03,2021-09-23,110 165 240 562,RUSHITHA CHITTIBOMMA,51,639,21.3,8.51,0.119,4.0,31.95,19.17,-1.02,0.0,0.0,54.1,76.04,130.14,31272,31911
2021-10-03,10,31,2021-10-02,2021-09-01,2021-10-23,110 165 240 562,RUSHITHA CHITTIBOMMA,61,599,19.3,9.02,0.119,4.0,29.95,17.97,-1.02,0.0,0.0,50.9,71.28,122.18,31911,32510
2021-11-02,11,28,2021-11-01,2021-10-04,2021-11-22,110 165 240 562,RUSHITHA CHITTIBOMMA,54,728,26.0,8.4,0.119,4.0,36.4,21.84,-1.02,0.0,0.0,61.22,86.63,147.85,32510,33238
2021-12-02,12,32,2021-12-01,2021-10-30,2021-12-22,110 165 240 562,RUSHITHA CHITTIBOMMA,29,2054,64.2,8.5,0.119,4.0,102.7,61.62,-1.02,-4.66,-4.66,157.98,244.43,402.41,33238,35292
2022-01-01,1,30,2021-12-31,2021-12-01,2022-01-21,110 165 240 562,RUSHITHA CHITTIBOMMA,37,1525,50.8,9.23,0.119,4.0,76.25,45.75,-1.02,-3.08,-3.08,118.82,181.48,300.3,35292,36817
2022-01-31,1,31,2022-01-30,2021-12-30,2022-02-20,110 165 240 562,RUSHITHA CHITTIBOMMA,28,1872,60.4,8.91,0.119,4.0,93.6,56.16,-1.02,-4.12,-4.12,144.5,222.77,367.27,36817,38689
2022-03-02,3,31,2022-03-01,2022-01-29,2022-03-22,110 165 240 562,RUSHITHA CHITTIBOMMA,55,990,31.9,8.9,0.119,4.0,49.5,29.7,-1.02,0.0,0.0,82.18,117.81,199.99,38689,39679
2022-04-01,4,31,2022-03-31,2022-02-28,2022-04-21,110 165 240 562,RUSHITHA CHITTIBOMMA,61,1182,38.1,8.56,0.119,4.0,59.1,35.46,-1.02,0.0,0.0,97.54,140.66,238.2,39679,40861
2022-05-01,5,29,2022-04-30,2022-04-01,2022-05-21,110 165 240 562,RUSHITHA CHITTIBOMMA,56,982,33.9,9.03,0.119,4.0,49.1,29.46,-1.02,0.0,0.0,81.54,116.86,198.4,40861,41843
2022-05-31,5,28,2022-05-30,2022-05-02,2022-06-20,110 165 240 562,RUSHITHA CHITTIBOMMA,64,1050,37.5,8.75,0.119,4.0,52.5,31.5,-1.02,0.0,0.0,86.98,124.95,211.93,41843,42893
2022-06-30,6,30,2022-06-29,2022-05-30,2022-07-20,110 165 240 562,RUSHITHA CHITTIBOMMA,74,618,20.6,8.37,0.119,4.0,30.9,18.54,-1.02,0.0,0.0,52.42,73.54,125.96,42893,43511
2022-07-30,7,30,2022-07-29,2022-06-29,2022-08-19,110 165 240 562,RUSHITHA CHITTIBOMMA,82,750,25.0,8.82,0.119,4.0,37.5,22.5,-1.02,0.0,0.0,62.98,89.25,152.23,43511,44261
2022-08-29,8,29,2022-08-28,2022-07-30,2022-09-18,110 165 240 562,RUSHITHA CHITTIBOMMA,83,501,17.3,8.34,0.119,4.0,25.05,15.03,-1.02,0.0,0.0,43.06,59.62,102.68,44261,44762
2022-09-28,9,32,2022-09-27,2022-08-26,2022-10-18,110 165 240 562,RUSHITHA CHITTIBOMMA,59,484,15.1,8.27,0.119,4.0,24.2,14.52,-1.02,0.0,0.0,41.7,57.6,99.3,44762,45246
2022-10-28,10,31,2022-10-27,2022-09-26,2022-11-17,110 165 240 562,RUSHITHA CHITTIBOMMA,53,667,21.5,8.85,0.119,4.0,33.35,20.01,-1.02,0.0,0.0,56.34,79.37,135.71,45246,45913
2022-11-27,11,32,2022-11-26,2022-10-25,2022-12-17,110 165 240 562,RUSHITHA CHITTIBOMMA,59,768,24.0,8.53,0.119,4.0,38.4,23.04,-1.02,0.0,0.0,64.42,91.39,155.81,45913,46681
2022-12-27,12,31,2022-12-26,2022-11-25,2023-01-16,110 165 240 562,RUSHITHA CHITTIBOMMA,30,2080,67.1,9.43,0.119,4.0,104.0,62.4,-1.02,-4.74,-4.74,159.9,247.52,407.42,46681,48761
2023-01-26,1,30,2023-01-25,2022-12-26,2023-02-15,110 165 240 562,RUSHITHA CHITTIBOMMA,38,1798,59.9,9.49,0.119,4.0,89.9,53.94,-1.02,-3.89,-3.89,139.04,213.96,353.0,48761,50559
2023-02-25,2,29,2023-02-24,2023-01-26,2023-03-17,110 165 240 562,RUSHITHA CHITTIBOMMA,31,1674,57.7,9.13,0.119,4.0,83.7,50.22,-1.02,-3.52,-3.52,129.86,199.21,329.07,50559,52233
2023-03-27,3,31,2023-03-26,2023-02-23,2023-04-16,110 165 240 562,RUSHITHA CHITTIBOMMA,54,1028,33.2,8.05,0.119,4.0,51.4,30.84,-1.02,0.0,0.0,85.22,122.33,207.55,52233,53261
2023-04-26,4,29,2023-04-25,2023-03-27,2023-05-16,110 165 240 562,RUSHITHA CHITTIBOMMA,64,856,29.5,9.36,0.119,4.0,42.8,25.68,-1.02,0.0,0.0,71.46,101.86,173.32,53261,54117
2023-05-26,5,28,2023-05-25,2023-04-27,2023-06-15,110 165 240 562,RUSHITHA CHITTIBOMMA,60,1136,40.6,8.28,0.119,4.0,56.8,34.08,-1.02,0.0,0.0,93.86,135.18,229.04,54117,55253
2023-06-25,6,31,2023-06-24,2023-05-24,2023-07-15,110 165 240 562,RUSHITHA CHITTIBOMMA,72,730,23.5,8.63,0.119,4.0,36.5,21.9,-1.02,0.0,0.0,61.38,86.87,148.25,55253,55983
2023-07-25,7,31,2023-07-24,2023-06-23,2023-08-14,110 165 240 562,RUSHITHA CHITTIBOMMA,77,438,14.1,8.74,0.119,4.0,21.9,13.14,-1.02,0.0,0.0,38.02,52.12,90.14,55983,56421
2023-08-24,8,30,2023-08-23,2023-07-24,2023-09-13,110 165 240 562,RUSHITHA CHITTIBOMMA,81,410,13.7,8.89,0.119,4.0,20.5,12.3,-1.02,0.0,0.0,35.78,48.79,84.57,56421,56831
2023-09-23,9,29,2023-09-22,2023-08-24,2023-10-13,110 165 240 562,RUSHITHA CHITTIBOMMA,61,716,24.7,9.08,0.119,4.0,35.8,21.48,-1.02,0.0,0.0,60.26,85.2,145.46,56831,57547
2023-10-23,10,31,2023-10-22,2023-09-21,2023-11-12,110 165 240 562,RUSHITHA CHITTIBOMMA,64,815,26.3,8.34,0.119,4.0,40.75,24.45,-1.02,0.0,0.0,68.18,96.98,165.16,57547,58362
2023-11-22,11,29,2023-11-21,2023-10-23,2023-12-12,110 165 240 562,RUSHITHA CHITTIBOMMA,61,611,21.1,9.24,0.119,4.0,30.55,18.33,-1.02,0.0,0.0,51.86,72.71,124.57,58362,58973
2023-12-22,12,29,2023-12-21,2023-11-22,2024-01-11,110 165 240 562,RUSHITHA CHITTIBOMMA,28,2128,73.4,8.7,0.119,4.0,106.4,63.84,-1.02,-4.88,-4.88,163.46,253.23,416.69,58973,61101
2024-01-21,1,31,2024-01-20,2023-12-20,2024-02-10,110 165 240 562,RUSHITHA CHITTIBOMMA,33,1551,50.0,9.35,0.119,4.0,77.55,46.53,-1.02,-3.15,-3.15,120.76,184.57,305.33,61101,62652
2024-02-20,2,28,2024-02-19,2024-01-22,2024-03-11,110 165 240 562,RUSHITHA CHITTIBOMMA,37,1460,52.1,9.09,0.119,4.0,73.0,43.8,-1.02,-2.88,-2.88,114.02,173.74,287.76,62652,64112
2024-03-21,3,30,2024-03-20,2024-02-19,2024-04-10,110 165 240 562,RUSHITHA CHITTIBOMMA,60,1133,37.8,9.21,0.119,4.0,56.65,33.99,-1.02,0.0,0.0,93.62,134.83,228.45,64112,65245
2024-04-20,4,28,2024-04-19,2024-03-22,2024-05-10,110 165 240 562,RUSHITHA CHITTIBOMMA,52,1088,38.9,8.7,0.119,4.0,54.4,32.64,-1.02,0.0,0.0,90.02,129.47,219.49,65245,66333
2024-05-20,5,29,2024-05-19,2024-04-20,2024-06-09,110 165 240 562,RUSHITHA CHITTIBOMMA,55,1146,39.5,9.38,0.119,4.0,57.3,34.38,-1.02,0.0,0.0,94.66,136.37,231.03,66333,67479
2024-06-19,6,29,2024-06-18,2024-05-20,2024-07-09,110 165 240 562,RUSHITHA CHITTIBOMMA,84,726,25.0,8.39,0.119,4.0,36.3,21.78,-1.02,0.0,0.0,61.06,86.39,147.45,67479,68205
2024-12-20,12,29,2024-12-19,2024-11-20,2025-01-09,110 165 240 562,RUSHITHA CHITTIBOMMA,28,2210,76.2,8.82,0.119,4.0,110.5,66.3,-1.02,-5.13,-5.13,169.52,262.99,432.51,68205,70415
2025-01-19,1,29,2025-01-18,2024-12-20,2025-02-08,110 165 240 562,RUSHITHA CHITTIBOMMA,33,2183,75.3,8.76,0.119,4.0,109.15,65.49,-1.02,-5.05,-5.05,167.52,259.78,427.3,70415,72598
2025-02-18,2,29,2025-02-17,2025-01-19,2025-03-10,110 165 240 562,RUSHITHA CHITTIBOMMA,39,1561,53.8,8.09,0.119,4.0,78.05,46.83,-1.02,-3.18,-3.18,121.5,185.76,307.26,72598,74159
2025-03-20,3,32,2025-03-19,2025-02-15,2025-04-09,110 165 240 562,RUSHITHA CHITTIBOMMA,64,1031,32.2,8.1,0.119,4.0,51.55,30.93,-1.02,0.0,0.0,85.46,122.69,208.15,74159,75190
2025-04-19,4,28,2025-04-18,2025-03-21,2025-05-09,110 165 240 562,RUSHITHA CHITTIBOMMA,62,1300,46.4,8.95,0.119,4.0,65.0,39.0,-1.02,0.0,0.0,106.98,154.7,261.68,75190,76490
2025-05-19,5,29,2025-05-18,2025-04-19,2025-06-08,110 165 240 562,RUSHITHA CHITTIBOMMA,54,974,33.6,9.26,0.119,4.0,48.7,29.22,-1.02,0.0,0.0,80.9,115.91,196.81,76490,77464
2025-06-18,6,30,2025-06-17,2025-05-18,2025-07-08,110 165 240 562,RUSHITHA CHITTIBOMMA,82,636,21.2,8.39,0.119,4.0,31.8,19.08,-1.02,0.0,0.0,53.86,75.68,129.54,77464,78100
2025-07-18,7,32,2025-07-17,2025-06-15,2025-08-07,110 165 240 562,RUSHITHA CHITTIBOMMA,77,648,20.2,8.36,0.119,4.0,32.4,19.44,-1.02,0.0,0.0,54.82,77.11,131.93,78100,78748
2025-08-17,8,31,2025-08-16,2025-07-16,2025-09-06,110 165 240 562,RUSHITHA CHITTIBOMMA,70,661,21.3,8.45,0.119,4.0,33.05,19.83,-1.02,0.0,0.0,55.86,78.66,134.52,78748,79409
2025-09-16,9,29,2025-09-15,2025-08-17,2025-10-06,110 165 240 562,RUSHITHA CHITTIBOMMA,55,800,27.6,9.09,0.119,4.0,40.0,24.0,-1.02,0.0,0.0,66.98,95.2,162.18,79409,80209
2025-10-16,10,32,2025-10-15,2025-09-13,2025-11-05,110 165 240 562,RUSHITHA CHITTIBOMMA,53,702,21.9,8.33,0.119,4.0,35.1,21.06,-1.02,0.0,0.0,59.14,83.54,142.68,80209,80911
2025-11-15,11,29,2025-11-14,2025-10-16,2025-12-05,110 165 240 562,RUSHITHA CHITTIBOMMA,52,802,27.7,8.13,0.119,4.0,40.1,24.06,-1.02,0.0,0.0,67.14,95.44,162.58,80911,81713
2025-12-15,12,29,2025-12-14,2025-11-15,2026-01-04,110 165 240 562,RUSHITHA CHITTIBOMMA,28,1867,64.4,8.94,0.119,4.0,93.35,56.01,-1.02,-4.1,-4.1,144.14,222.17,366.31,81713,83580
2026-01-14,1,30,2026-01-13,2025-12-14,2026-02-03,110 165 240 562,RUSHITHA CHITTIBOMMA,33,1474,49.1,8.72,0.119,4.0,73.7,44.22,-1.02,-2.92,-2.92,115.06,175.41,290.47,83580,85054
2026-02-13,2,32,2026-02-12,2026-01-11,2026-03-05,110 165 240 562,RUSHITHA CHITTIBOMMA,37,1968,61.5,8.69,0.119,4.0,98.4,59.04,-1.02,-4.4,-4.4,151.62,234.19,385.81,85054,87022
2026-03-15,3,31,2026-03-14,2026-02-11,2026-04-04,110 165 240 562,RUSHITHA CHITTIBOMMA,58,843,27.2,8.56,0.119,4.0,42.15,25.29,-1.02,0.0,0.0,70.42,100.32,170.74,87022,87865
2026-04-14,4,28,2026-04-13,2026-03-16,2026-05-04,110 165 240 562,RUSHITHA CHITTIBOMMA,64,1241,44.3,9.09,0.119,4.0,62.05,37.23,-1.02,0.0,0.0,102.26,147.68,249.94,87865,89106
2026-05-14,5,31,2026-05-13,2026-04-12,2026-06-03,110 165 240 562,RUSHITHA CHITTIBOMMA,50,1007,32.5,8.9,0.119,4.0,50.35,30.21,-1.02,0.0,0.0,83.54,119.83,203.37,89106,90113
2026-06-13,6,32,2026-06-12,2026-05-11,2026-07-03,110 165 240 562,RUSHITHA CHITTIBOMMA,82,469,14.7,8.16,0.119,4.0,23.45,14.07,-1.02,0.0,0.0,40.5,55.81,96.31,90113,90582
2026-07-13,7,28,2026-07-12,2026-06-14,2026-08-02,110 165 240 562,RUSHITHA CHITTIBOMMA,77,620,22.1,8.52,0.119,4.0,31.0,18.6,-1.02,0.0,0.0,52.58,73.78,126.36,90582,91202
2026-08-12,8,29,2026-08-11,2026-07-13,2026-09-01,110 165 240 562,RUSHITHA CHITTIBOMMA,75,497,17.1,8.17,0.119,4.0,24.85,14.91,-1.02,0.0,0.0,42.74,59.14,101.88,91202,91699
2026-09-11,9,28,2026-09-10,2026-08-13,2026-10-01,110 165 240 562,RUSHITHA CHITTIBOMMA,58,794,28.4,8.23,0.119,4.0,39.7,23.82,-1.02,0.0,0.0,66.5,94.49,160.99,91699,92493
2026-10-11,10,29,2026-10-10,2026-09-11,2026-10-31,110 165 240 562,RUSHITHA CHITTIBOMMA,55,702,24.2,8.77,0.119,4.0,35.1,21.06,-1.02,0.0,0.0,59.14,83.54,142.68,92493,93195
2026-11-10,11,31,2026-11-09,2026-10-09,2026-11-30,110 165 240 562,RUSHITHA CHITTIBOMMA,60,588,19.0,9.21,0.119,4.0,29.4,17.64,-1.02,0.0,0.0,50.02,69.97,119.99,93195,93783
2026-12-10,12,31,2026-12-09,2026-11-08,2026-12-30,110 165 240 562,RUSHITHA CHITTIBOMMA,29,2195,70.8,8.29,0.119,4.0,109.75,65.85,-1.02,-5.08,-5.08,168.42,261.2,429.62,93783,95978
2027-01-09,1,28,2027-01-08,2026-12-11,2027-01-29,110 165 240 562,RUSHITHA CHITTIBOMMA,35,1894,67.6,8.65,0.119,4.0,94.7,56.82,-1.02,-4.18,-4.18,146.14,225.39,371.53,95978,97872
2027-02-08,2,28,2027-02-07,2027-01-10,2027-02-28,110 165 240 562,RUSHITHA CHITTIBOMMA,34,1967,70.2,8.14,0.119,4.0,98.35,59.01,-1.02,-4.4,-4.4,151.54,234.07,385.61,97872,99839
2027-03-10,3,30,2027-03-09,2027-02-07,2027-03-30,110 165 240 562,RUSHITHA CHITTIBOMMA,61,1199,40.0,8.04,0.119,4.0,59.95,35.97,-1.02,0.0,0.0,98.9,142.68,241.58,99839,101038
2027-04-09,4,31,2027-04-08,2027-03-08,2027-04-29,110 165 240 562,RUSHITHA CHITTIBOMMA,51,1141,36.8,8.89,0.119,4.0,57.05,34.23,-1.02,0.0,0.0,94.26,135.78,230.04,101038,102179
2027-05-09,5,29,2027-05-08,2027-04-09,2027-05-29,110 165 240 562,RUSHITHA CHITTIBOMMA,61,1108,38.2,9.28,0.119,4.0,55.4,33.24,-1.02,0.0,0.0,91.62,131.85,223.47,102179,103287
2027-06-08,6,30,2027-06-07,2027-05-08,2027-06-28,110 165 240 562,RUSHITHA CHITTIBOMMA,78,611,20.4,8.61,0.119,4.0,30.55,18.33,-1.02,0.0,0.0,51.86,72.71,124.57,103287,103898
2027-07-08,7,30,2027-07-07,2027-06-07,2027-07-28,110 165 240 562,RUSHITHA CHITTIBOMMA,77,593,19.8,8.27,0.119,4.0,29.65,17.79,-1.02,0.0,0.0,50.42,70.57,120.99,103898,104491
2027-08-07,8,28,2027-08-06,2027-07-09,2027-08-27,110 165 240 562,RUSHITHA CHITTIBOMMA,73,667,23.8,9.42,0.119,4.0,33.35,20.01,-1.02,0.0,0.0,56.34,79.37,135.71,104491,105158
2027-09-06,9,32,2027-09-05,2027-08-04,2027-09-26,110 165 240 562,RUSHITHA CHITTIBOMMA,58,829,25.9,8.51,0.119,4.0,41.45,24.87,-1.02,0.0,0.0,69.3,98.65,167.95,105158,105987
2027-10-06,10,32,2027-10-05,2027-09-03,2027-10-26,110 165 240 562,RUSHITHA CHITTIBOMMA,55,531,16.6,8.74,0.119,4.0,26.55,15.93,-1.02,0.0,0.0,45.46,63.19,108.65,105987,106518
2027-11-05,11,28,2027-11-04,2027-10-07,2027-11-25,110 165 240 562,RUSHITHA CHITTIBOMMA,62,486,17.4,8.2,0.119,4.0,24.3,14.58,-1.02,0.0,0.0,41.86,57.83,99.69,106518,107004
2027-12-05,12,29,2027-12-04,2027-11-05,2027-12-25,110 165 240 562,RUSHITHA CHITTIBOMMA,29,2200,75.9,8.3,0.119,4.0,110.0,66.0,-1.02,-5.1,-5.1,168.78,261.8,430.58,107004,109204
2028-01-04,1,30,2028-01-03,2027-12-04,2028-01-24,110 165 240 562,RUSHITHA CHITTIBOMMA,30,2097,69.9,9.25,0.119,4.0,104.85,62.91,-1.02,-4.79,-4.79,161.16,249.54,410.7,109204,111301
2028-02-03,2,30,2028-02-02,2028-01-03,2028-02-23,110 165 240 562,RUSHITHA CHITTIBOMMA,30,2061,68.7,8.62,0.119,4.0,103.05,61.83,-1.02,-4.68,-4.68,158.5,245.26,403.76,111301,113362
2028-03-04,3,31,2028-03-03,2028-02-01,2028-03-24,110 165 240 562,RUSHITHA CHITTIBOMMA,62,1152,37.2,8.5,0.119,4.0,57.6,34.56,-1.02,0.0,0.0,95.14,137.09,232.23,113362,114514
2028-04-03,4,32,2028-04-02,2028-03-01,2028-04-23,110 165 240 562,RUSHITHA CHITTIBOMMA,57,1085,33.9,8.88,0.119,4.0,54.25,32.55,-1.02,0.0,0.0,89.78,129.11,218.89,114514,115599
2028-05-03,5,29,2028-05-02,2028-04-03,2028-05-23,110 165 240 562,RUSHITHA CHITTIBOMMA,64,898,31.0,8.23,0.119,4.0,44.9,26.94,-1.02,0.0,0.0,74.82,106.86,181.68,115599,116497
2028-06-02,6,28,2028-06-01,2028-05-04,2028-06-22,110 165 240 562,RUSHITHA CHITTIBOMMA,84,591,21.1,8.51,0.119,4.0,29.55,17.73,-1.02,0.0,0.0,50.26,70.33,120.59,116497,117088
2028-07-02,7,28,2028-07-01,2028-06-03,2028-07-22,110 165 240 562,RUSHITHA CHITTIBOMMA,80,690,24.6,9.32,0.119,4.0,34.5,20.7,-1.02,0.0,0.0,58.18,82.11,140.29,117088,117778
2028-08-01,8,30,2028-07-31,2028-07-01,2028-08-21,110 165 240 562,RUSHITHA CHITTIBOMMA,83,782,26.1,9.39,0.119,4.0,39.1,23.46,-1.02,0.0,0.0,65.54,93.06,158.6,117778,118560
2028-08-31,8,29,2028-08-30,2028-08-01,2028-09-20,110 165 240 562,RUSHITHA CHITTIBOMMA,80,738,25.4,8.61,0.119,4.0,36.9,22.14,-1.02,0.0,0.0,62.02,87.82,149.84,118560,119298
2028-09-30,9,28,2028-09-29,2028-09-01,2028-10-20,110 165 240 562,RUSHITHA CHITTIBOMMA,54,876,31.3,9.15,0.119,4.0,43.8,26.28,-1.02,0.0,0.0,73.06,104.24,177.3,119298,120174
2028-10-30,10,30,2028-10-29,2028-09-29,2028-11-19,110 165 240 562,RUSHITHA CHITTIBOMMA,60,530,17.7,8.44,0.119,4.0,26.5,15.9,-1.02,0.0,0.0,45.38,63.07,108.45,120174,120704
2028-11-29,11,28,2028-11-28,2028-10-31,2028-12-19,110 165 240 562,RUSHITHA CHITTIBOMMA,57,538,19.2,9.18,0.119,4.0,26.9,16.14,-1.02,0.0,0.0,46.02,64.02,110.04,120704,121242
2028-12-29,12,30,2028-12-28,2028-11-28,2029-01-18,110 165 240 562,RUSHITHA CHITTIBOMMA,39,1730,57.7,8.85,0.119,4.0,86.5,51.9,-1.02,-3.69,-3.69,134.0,205.87,339.87,121242,122972
